params,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
{'pca__n_components': 4},0.8632341479070194,0.8374449087058554,0.938674750974448,0.8205842439825727,0.8401617954070981,0.7891760904684976,0.8012185324049277,0.90016718414139,0.8575962632492964,0.872299944040291,0.775593471810089,0.8813709996048993,0.9207267394492424,0.9374427430964534,0.9143395579921192,0.8957943342069138,0.8959302588192782,0.897350484292523,0.8168710996341726,0.8728431112290947,0.9064521345407504,0.872070036712793,0.9659039248370964,0.8138721351025332,0.907258064516129,0.901135327753377,0.8920083876980429,0.8725359911406423,0.8533979622118903,0.7948954206210265,0.6790173724212812,0.8905329002766751,0.863067403523688,0.8736817973406694,0.9565890242450696,0.8826537728392766,0.9108679616424884,0.882655981682885,0.7696972893154731,0.7929366231253023,0.9551622887072456,0.8457813091184261,0.9129593810444874,0.8811607824707748,0.8520357497517378,0.8943640283338467,0.9388074056263525,0.7397046046915725,0.8881796881312111,0.8103235536057033,0.8151118615449556,0.8414307931570763,0.8597941359950093,0.875164359192513,0.9221099015033696,0.994154288452324,0.9001157598809327,0.858182308158728,0.8715323645970938,0.8960387623257395,0.8526111350884765,0.8607353906762968,0.8889211277141061,0.8677495229219367,0.8664962480415601,0.943502824858757,0.9032597266035752,0.8674116256581068,0.8092448512585813,0.8868375858684985,0.9876569634703196,0.8260056887444128,0.8572206342724922,0.8924558587479936,0.8522142383937217,0.9184342127953096,0.959335263754249,0.9732553928922456,0.9036832679928368,0.8823383598430077,0.8813595553655408,0.8885264617140993,0.8964945523448603,0.8781039793801471,0.884,0.8351763299462044,0.946240688119192,0.9010033444816054,0.8616240108362444,0.870655208276315,0.8318275281949031,0.8414909431261356,0.8056204431230977,0.9103227216434764,0.891954143328273,0.8681628941953391,0.9225724561032368,0.8624641833810889,0.9162213140521848,0.9022891877909984
{'pca__n_components': 10},0.7764889276053367,0.7284070745807338,0.940753572975314,0.7990143561174202,0.81080375782881,0.7697899838449112,0.7656668452062132,0.8784332457606878,0.8653811605485359,0.8208170117515389,0.7524480712166172,0.8514915053338601,0.9034544565748736,0.942088731841382,0.8940380332362515,0.8715836765256458,0.7931704232350151,0.846358837697945,0.7157305788680869,0.7814352712149367,0.892545278137128,0.8186952838181305,0.9612062433702075,0.7669481302774427,0.8877688172043011,0.8451147758349217,0.8483224603914259,0.8662236987818384,0.8234246710851716,0.745323873583341,0.6390472312703583,0.8546854324551907,0.8030796844740447,0.8170563961485557,0.9486925122018968,0.8626156492630992,0.8971805589705761,0.870406410990269,0.7151671764581795,0.6961780358006773,0.9504801206253471,0.7710177828225502,0.908538270240398,0.8174822299242201,0.8442154915590864,0.8797864695616466,0.9210146669872564,0.7405734144222416,0.8629716409469177,0.781738415135728,0.7957647389897284,0.7749300155520995,0.790938864628821,0.8642586433598887,0.9328667703473302,0.9905126976521322,0.8804917038751998,0.8046890790271508,0.8011063408190224,0.8553213192791568,0.792080276219249,0.7571897570584373,0.8677402195463997,0.8231926507788577,0.7738105054836316,0.8804760581643049,0.8490477859563033,0.8218545181046524,0.805766590389016,0.8421246319921492,0.9835188356164384,0.8163348232425843,0.7758268681094325,0.8544081802508768,0.7581919176476584,0.8986032074495602,0.9450459524109278,0.9410790957529356,0.8807414936353516,0.8356951043172898,0.8633497221034631,0.8943162358313627,0.876361913784936,0.864147859432954,0.8402352941176471,0.83749252839211,0.9069195914292296,0.9021404682274248,0.8413773436943038,0.7867973069133505,0.788086485139261,0.8314155150580851,0.7413463580377999,0.8853354702411306,0.8678218080929697,0.7711633248791693,0.8970806008038925,0.8684912558047624,0.9018128471130672,0.8788799793067771
{'pca__n_components': 20},0.7092292879739581,0.6649876938927365,0.9165872672152447,0.7193771873437612,0.7490866388308977,0.6902261712439418,0.6711301553294055,0.8218294721757822,0.8138810707227978,0.7213206491326245,0.7328635014836795,0.7953871987356776,0.8568518820270491,0.9178118047375998,0.8567757409628234,0.8155497316860102,0.7117304304620805,0.7359196433147133,0.6431030772541425,0.7194938501017609,0.8445181112548512,0.7088796546576834,0.9515078042127596,0.7240048250904705,0.8172043010752689,0.7734316731582,0.7838614476545511,0.85437430786268,0.7875160747848452,0.6677416382567032,0.6009771986970684,0.7939372067845543,0.698030324500496,0.7384227418615315,0.9359549224237134,0.8115672509182202,0.8558724694697156,0.8193474527761877,0.6012551418626727,0.6581196581196581,0.9397666851837156,0.7217555807794174,0.8667219305517178,0.7717793573400693,0.7873634558093346,0.8241453649522636,0.8577783120942535,0.7105994787141616,0.8159489375454472,0.6952289553057307,0.7277332207682566,0.7308864696734059,0.6961166562694947,0.8190888699822105,0.9131674442716432,0.9634882606612364,0.8234937434540543,0.6919760156302635,0.7365422721268163,0.7858721523291398,0.7252373759171342,0.6702560735390676,0.8203975047149282,0.7842719566857498,0.7183969654489981,0.7736871353153654,0.7879425166491413,0.7131191576232943,0.7397711670480549,0.7678483807654564,0.9594748858447488,0.7651361235270215,0.7086792795245225,0.786814101420843,0.6902614279162208,0.8436799448180721,0.8939947123253179,0.8753815115617402,0.8244518658341803,0.7566205329477381,0.8182449764856776,0.8771100057082281,0.8171482709616296,0.8261771547117621,0.7817647058823529,0.7935594739988046,0.8318101528300438,0.8876254180602007,0.7510515434519142,0.7388472275439268,0.7561841859305876,0.7404063205417607,0.6348835563106109,0.8411160486632184,0.8197665288174633,0.6879456381298751,0.8500105775333192,0.8146428218555478,0.8297705124174788,0.8237842731505431
{'pca__n_components': 25},0.6914859474577049,0.647644668307481,0.9110437418796016,0.6975930290693522,0.7222729645093946,0.6558158319870759,0.6435457953936797,0.7973091314385797,0.7896281214443979,0.6801343033016228,0.7284124629080119,0.7766199130778348,0.837298354244745,0.9125114513807092,0.8450402604077437,0.7958317733682766,0.6862550250688829,0.6954850612412238,0.6215838175166775,0.7032121051234405,0.830045278137128,0.6665994271190543,0.9497651159266556,0.707599517490953,0.7868072787427626,0.7581834755945969,0.7669307238272756,0.8523809523809524,0.7756454644376298,0.6385331244817102,0.5924267100977199,0.7827499097798629,0.6617542865240187,0.7203117835855112,0.9344867267171938,0.791901064670603,0.8441930989263176,0.8040068689181454,0.5613859297542453,0.6486050636994033,0.9390524561542736,0.7054861899356791,0.8428663535046513,0.758914409915996,0.7599925521350546,0.806282722513089,0.8310892041356095,0.7063423110338836,0.8035065039993536,0.6741842610364683,0.7065569157168988,0.7173872472783825,0.6762320648783531,0.8034650785056849,0.8960601347848626,0.9483469094393868,0.8005071385259909,0.6469042646365291,0.7159841479524438,0.768106086365182,0.7031722054380665,0.6486539724228496,0.8039073456163257,0.7731771180047042,0.7023171435639483,0.7361304065944244,0.7664446781166024,0.670570538304502,0.7087414187643021,0.7492639842983317,0.9432077625570776,0.7483949613978058,0.6871285331881494,0.770049343083051,0.6697243031136931,0.8231591653733402,0.8705778673045449,0.8494128601727795,0.808431344078215,0.7360049576533774,0.8010367678495084,0.867732202560548,0.7944102321174799,0.8114666499025586,0.7683529411764706,0.7726389719067543,0.8020889332616542,0.8814715719063545,0.7275254865616312,0.7271333953692046,0.7461524082497352,0.7179430710785664,0.6014723578962271,0.8282946018795075,0.8046380149714705,0.6625831459061109,0.8365771102178972,0.7877680071139216,0.7972859687729226,0.809299017071909
{'pca__n_components': 42},0.663564256567787,0.614790223799439,0.8975313988739714,0.6728805085351046,0.6712552192066806,0.5903877221324717,0.6085966791644349,0.7387150704561739,0.7353733756512366,0.5970341354224958,0.7204005934718101,0.7326155669695772,0.7933029167345609,0.8953016620861144,0.8256810005139626,0.7636340945962811,0.6445187226161977,0.6149233844103931,0.582741553690553,0.6746305636669321,0.8025549805950841,0.5870415943841529,0.9459008940748598,0.674065138721351,0.722394540942928,0.7300074583575039,0.7369913016464741,0.8470653377630122,0.7513107132258383,0.5844466967658712,0.5750542888165038,0.760134728738121,0.5892494449955127,0.6895919303071986,0.9332566168009206,0.7447115161095356,0.8194410294238177,0.7717229536348025,0.500105474106107,0.6363489759716174,0.9362748988175542,0.6746878547105561,0.7889840655798103,0.7362979498325795,0.7028922542204568,0.7708654142285186,0.7637653282038952,0.6904430929626412,0.7788640219762463,0.6453934740882917,0.6744758688616856,0.6941835147744946,0.6400499064254522,0.7596101786681104,0.8481078278900985,0.9115476760900816,0.7376109365525605,0.5624873677827933,0.6841974900924703,0.7415844950697041,0.6703172205438066,0.6130663164806304,0.7573383625900673,0.7548928238583411,0.6761771254226107,0.6601833842734093,0.732211706975114,0.5778446330718814,0.6405491990846682,0.7163272816486752,0.8759988584474886,0.7282405526208858,0.6545075087337235,0.73764936686285,0.6379758446720685,0.7881531298499741,0.8151831801586302,0.7700584553308157,0.7749866898988432,0.701673208014873,0.7570542967079948,0.843594552719563,0.7333017527238276,0.7720500408625134,0.7474117647058823,0.7244471010161386,0.7378081560556025,0.8620066889632108,0.6971554858487203,0.7034320433521265,0.7291420026169855,0.6853493365633431,0.5506476959014652,0.801631820499745,0.7719729885358321,0.6276499018997942,0.8107679289189761,0.7245331488983302,0.7295399769464529,0.7829798241076048
{'pca__n_components': 100},0.6305075420659301,0.5730066968118597,0.8841922910350801,0.664595386043854,0.6633611691022965,0.5791599353796446,0.5987546866630958,0.6657113287158666,0.7323791843822983,0.5241186345831002,0.7137240356083087,0.7546918214144607,0.7385530389441095,0.8729223923570213,0.8040089086859689,0.7310620242106577,0.5966394146077059,0.5497360733869728,0.5573488272003443,0.6310061056543669,0.776924320827943,0.516319038205511,0.939460524321867,0.6849215922798553,0.6513647642679901,0.7136819424877766,0.7107020813917365,0.8524916943521594,0.766050054406964,0.5680457016493136,0.5645358306188925,0.7428124624082761,0.5233574228898021,0.6636863823933975,0.9304392682830046,0.7605653447394114,0.7978444389804115,0.7393245563823698,0.4867102626305242,0.6176423157555233,0.9326243948892944,0.628679530836171,0.7057198121027908,0.7018739352640545,0.6842105263157895,0.7338055641104609,0.7040153883144987,0.6765421372719375,0.7556758503676173,0.6372360844529751,0.6587871112987196,0.6578538102643857,0.6118995633187773,0.7720628045479155,0.7860290305857958,0.8928126497364638,0.6560829061242489,0.4840665633632015,0.6491908850726552,0.7188031281876912,0.63034095813552,0.573473407747866,0.7691861308573915,0.7253805529667599,0.6342871278964295,0.5906733351856998,0.6880476691202243,0.4929622864510583,0.6272768878718535,0.6852306182531894,0.6998430365296804,0.7261275904104023,0.6181207749194683,0.713869567802152,0.5938439586199867,0.7696154509398172,0.7497796802215787,0.608194092390461,0.7486568897923624,0.6696137161743442,0.7618640444634459,0.8488950501508603,0.6399810516342965,0.7817313132583139,0.7334117647058823,0.7322175732217573,0.6648490899316489,0.8602675585284281,0.688244100663007,0.6719579615742515,0.6959312106673313,0.6796784672135661,0.5466128689743045,0.7769359656152109,0.7939590640213579,0.5855864478154759,0.7906706156124392,0.7304614168560419,0.6537252436340774,0.759958613554061
{'pca__n_components': 150},0.6123515657237174,0.552458359567283,0.8853183196188826,0.6590957788729377,0.6691022964509394,0.5831179321486268,0.5966122121049813,0.6653928827322665,0.7387867536978262,0.5213206491326245,0.7150593471810089,0.7817562228368234,0.7369235782955842,0.8743619945033373,0.806064759294158,0.7364283040059902,0.5774876914043091,0.5461999692512683,0.5700451904454487,0.6107424121759136,0.7820989650711514,0.5104691975632388,0.937717836035763,0.7008443908323281,0.6451095947063689,0.7218861357421066,0.7143134513824169,0.8574750830564785,0.7793055692946879,0.5714548972634295,0.5669109663409337,0.7484662576687117,0.5196731377828161,0.6707932141219624,0.9296853299472244,0.7835789669440699,0.8033767723957053,0.7467658843732112,0.4877650036915937,0.6047411707789067,0.93032299023887,0.6087022323117669,0.6980749746707193,0.681959701580215,0.6861345580933466,0.7386305307463299,0.7185621543640298,0.6759339704604691,0.7629474024400097,0.6353166986564299,0.653440270156184,0.63800933125972,0.6167342482844667,0.7888467785598268,0.7860290305857958,0.8995208433157642,0.6514525108869412,0.4792157919558041,0.6353203434610304,0.7196531791907514,0.6110271903323263,0.5562048588312541,0.7875622612312008,0.7105134691341588,0.6120227591325142,0.6079929610076873,0.6658488141137984,0.4938218545181047,0.6324942791762014,0.6873773307163886,0.6560359589041096,0.7239333604225925,0.6011070278118053,0.7199928660602818,0.5744789277888193,0.7671150198310054,0.7571446556716606,0.5743624230510579,0.7538357291515415,0.6748605659987605,0.7795532278751603,0.8580282149555574,0.6447181430601611,0.799082165084554,0.7461176470588236,0.7417812313209803,0.670148222102757,0.8632775919732442,0.6822556498182077,0.6542230007115879,0.6777992398280267,0.677696415790343,0.5503645501521909,0.7828367451008961,0.8180913992566613,0.5679284107766666,0.7984979902686693,0.7421697460725225,0.6470187572042335,0.7598292809105018
{'pca__n_components': 200},0.5908486543487231,0.5307652681586629,0.8854915547856215,0.6541675594600386,0.6749739039665971,0.591437802907916,0.5948044991965721,0.6653132712363665,0.7458530450925205,0.521264689423615,0.7158753709198813,0.8024990122481233,0.7366791591983054,0.8758015966496532,0.8091485352064417,0.7394234369150131,0.559871719589864,0.5449700199866756,0.5806972240154938,0.5918060348641713,0.7824223803363519,0.5069189494493082,0.9385512956508562,0.7131483715319662,0.6416976840363937,0.7254495732162095,0.7167598633115875,0.8612403100775193,0.7874171530319517,0.5730212844374827,0.5704397394136808,0.7526765307349934,0.5192480279627792,0.6765245300320953,0.9303202253878814,0.8030591845274071,0.8067371526924023,0.7502003434459072,0.4916148085644974,0.5958716336074826,0.9315133719546068,0.5857737419598941,0.6957723127935894,0.6611643071139047,0.6882447864945382,0.7422235910070835,0.7255349843712431,0.6770634231103388,0.7702189545124021,0.6318206745270085,0.6502040242014915,0.6178538102643857,0.6175920149719276,0.8001392219042462,0.789917055469155,0.9042165788212746,0.6534920897414696,0.4761840598261807,0.625330250990753,0.7199931995919755,0.5887462235649547,0.5365725541694025,0.799941970114609,0.6928504859539343,0.5938814216211759,0.6213299990738168,0.647739221871714,0.4966154507360051,0.6384439359267735,0.6882360157016683,,0.7223892726533929,0.5825960709586679,0.7228464419475655,0.5553177393874535,0.7718572167615106,0.7602920810776784,,0.7566429504864237,0.676471803346416,0.7941427960666951,0.865612003588029,0.6473235433443866,0.813038285031747,0.7534117647058823,0.7515690376569037,0.6737577759004685,0.8662876254180601,0.6783346403364939,0.6333132629043735,0.6519409308991214,0.6730165721521775,0.5553196007644935,0.785896408537918,0.8376694759985343,0.5490261760061252,0.8015654749312461,0.7452326845173401,0.6441370638164099,0.759958613554061
{'pca__n_components': 250},0.5750767961120535,0.5170854558983459,0.8862711130359463,0.6493107635168917,0.6740605427974948,0.5921647819063005,0.5914568826995179,0.6661889976912666,0.7489071201868376,0.5213206491326245,0.7158753709198813,0.8125246937969182,0.7379012546846994,0.875736160188457,0.8106047627205757,0.7445401223012604,0.5490762907087041,0.5438938143801568,0.5845706907682375,0.5801256525971153,0.7840394566623544,0.5052245128494776,0.9393089862100318,0.7177322074788902,0.6401468155500414,0.7316648711361564,0.7204877291084187,0.8630121816168328,0.7905826491245425,0.5723763014834607,0.572271986970684,0.7570070973174546,0.5187756837182939,0.6813388353966071,0.9309948017935796,0.8128225394021108,0.809318908286206,0.7538637664567831,0.4920894420419787,0.589582325431382,0.9324656773271962,0.567385546727204,0.6960486322188449,0.6462433178640663,0.6867552135054618,0.7476645108305102,0.7313056023082471,0.6773240660295395,0.777571301607821,0.6270907595283794,0.6466863655550865,0.6001244167962675,0.620711166562695,0.8053213705623018,0.7944530844997408,0.907187350263536,0.654318946033846,0.4753755979249477,0.6194682959048877,0.7215232913974838,0.5695943029779887,0.5218647406434669,0.8072440640263069,0.6766076421248836,0.5830790797394244,0.6329072890617764,0.6390933520271059,0.4999462769958096,0.6378947368421053,0.6892787046123651,,0.7188947582283625,0.5677147134884987,0.7276024017597051,0.5418131784130867,0.7736678737713398,0.7640689915648999,,0.7613861865350177,0.6786614335881016,0.801410859341599,0.8684661175894969,0.6527711984841308,0.8211479222983592,0.7627058823529411,0.7557531380753139,0.6778281238000153,0.8680936454849498,0.6733442646324945,0.6177678033827796,0.6295719359461649,0.6687221274018609,0.555956678700361,0.7899031106578276,0.8488719049363974,0.537206297554673,0.806854241590861,0.7456279023811876,0.6420412868070837,0.7602819451629591
{'pca__n_components': 300},0.56191829810646,0.5053517257169023,0.8856647899523603,0.646382401257053,0.6765396659707724,0.5954765751211631,0.5877745045527585,0.6636414298224663,0.7514821246781245,0.5188584219362059,0.7165430267062315,0.8175622283682339,0.734723806420075,0.8759324695720455,0.8114613671406544,0.7454137027330587,0.541713717873436,0.5392302567519089,0.5947923391435335,0.5727811698079815,0.785575679172057,0.499536047121475,0.9418093650553114,0.7202653799758746,0.6339950372208437,0.7363056269163836,0.7223904939422181,0.8634551495016611,0.7919675536650509,0.5740348290795172,0.573900651465798,0.7589317935763262,0.5156582117046904,0.6850068775790922,0.9343280028570294,0.8171928030126924,0.8089910663060405,0.7550085861476817,0.4925640755194599,0.5831317529430737,0.93484644075867,0.5527052591751798,0.6896011789628811,0.6343182752746285,0.6864448857994042,0.7494097115285905,0.7351526809329165,0.6766290182450043,0.7797527672295387,0.6229092404716206,0.6437315322921063,0.584945567651633,0.6233624454148472,0.8074870446283549,0.797045101088647,,0.6527754809547434,0.4697837364414202,0.6150099075297226,0.721948316899014,0.554380664652568,0.5111621799080762,0.8101939165336816,0.6628944215151111,0.574420714109013,0.6431416134111327,0.6330178759200841,0.4996239389706672,0.6388100686498855,0.6901373895976447,,0.7151564404713531,0.5559638854861395,0.729504785684561,0.5318248993528003,0.7769443007415071,0.7655168072516682,,0.7617249891099173,0.6798182193761619,0.8039760581445062,0.8688738481611351,0.653008053055424,0.8245426541774061,0.7668235294117647,0.7603855349671249,0.6786729129867137,0.8683612040133779,0.6686390532544378,0.6051234331381028,0.6103807090784472,0.6643726256675659,0.5573016210094146,0.7912143949879799,0.8548919017955295,0.5280183758434225,0.8091812989210916,0.7393538187926094,0.6351776171015404,0.7598292809105018
{'pca__n_components': 350},0.5505478886800238,0.496136454696354,0.886617583369424,0.6455253196200271,0.6777792275574113,0.5980613893376413,0.5867702196036422,0.6619695884085662,0.7540571291694114,0.5177951874650252,0.7175816023738872,0.8241307783484788,0.7326869806094183,0.8772411987959691,0.81326023642282,0.7489080244602521,0.5334929310266949,0.5367191103366986,0.6027544652463955,0.5645518095743739,0.7878395860284605,0.4966312986646226,0.9427943627822396,0.7246079613992762,0.630686517783292,0.7413607358912737,0.7268561665113389,0.864562569213732,0.7952319715105352,0.5752326545655579,0.5769543973941368,0.7632623601587875,0.5140522412734401,0.6902796882164145,0.9354787508432204,0.824306104421405,0.8113679206622408,0.7579851173440183,0.493566079527476,0.5787776165134656,0.9346083644155224,0.5398410896708286,0.6875748365110067,0.6248604828761088,0.6871276067527309,0.753105430653937,0.7417648473190671,0.6788010425716768,0.7856508039104791,0.6220180970660817,0.6432390600816097,0.5709486780715397,0.627573300062383,0.8100394462062032,0.8030067392431312,,0.6533818422358194,0.4677625816883379,0.6101387054161163,0.7239034342060524,0.5416486836426413,0.5013788575180564,0.8145945161758306,0.6498468912262015,0.5667518759792199,0.6568954339168287,0.6282275966818553,0.5000537230041904,0.6405491990846682,0.6922227674190383,,0.7137748882568061,0.5441676874914931,0.7330717555436657,0.5219895021148652,0.7769443007415071,0.768664232657686,,0.7648226126518561,0.6830406940714728,0.8093736639589568,0.8705047704476881,0.6466129796305069,0.8300119444269818,0.7727058823529411,0.7647190675433353,0.6825896628523155,0.868494983277592,0.6667854851358095,0.5930811757622202,0.5927472116642781,0.6620602323404724,0.5580094853826006,0.7945654549428134,0.8632152018007643,0.5206967507297698,0.812143008250476,0.7334749530678787,0.6321911348632505,0.7611226073460942
{'pca__n_components': 400},0.5422493237357296,0.4898403067941159,,0.6422398400114278,0.6792797494780793,0.6004846526655897,0.5845607927155865,0.6627657033675662,0.7547158512485778,0.5182988248461108,0.716913946587537,0.8282299486369024,0.7311389929933192,,,,0.528795338542843,0.5351304258699329,0.6103938024531956,0.5588001061852933,,0.4950982369790616,0.9418093650553114,0.7260554885404101,0.6292907361455748,,,0.8646733111849391,0.796913641309724,0.5765226204736018,0.5784473398479913,,0.5129658495111237,,0.9343280028570294,0.8293272583569669,,,0.493460605421369,0.5760361232059346,0.93302118879454,0.5312902005297011,0.6874827300359215,0.618339893085825,0.6869414101290964,,0.7416446261120462,0.6782797567332755,,0.619413216342199,0.6409877585479105,0.5603110419906687,,0.8108129012297934,0.8052099533437014,,0.6548701835620969,0.4658761705854611,0.6069187582562747,,0.5316141562365128,0.4944189100459619,0.8168673533536438,0.6400834331868814,0.5621340809763338,0.6640270445494119,0.6267087276550999,0.5014505211131407,0.6412814645308924,,,0.7116619260463226,0.5355020189646568,,0.5158742292208123,0.7785825142265907,0.768475387133325,,,,0.812847370671227,0.87148332381962,,0.8330294838750236,,0.7673341303048417,0.6837416481069042,0.8683612040133779,0.6635060953874671,0.5850894958673162,0.5801607576796062,0.6578208445741343,0.558504990443831,,0.8679788514892949,0.5159113748384936,,0.7267068471494912,0.6300429634286911,
{'pca__n_components': 450},0.5328962450139838,0.4837731097246866,,0.6375973144775373,0.6789535490605428,0.5998384491114701,0.5804767005891805,0.6637210413183664,0.7541170129947901,0.5190263010632344,0.7170623145400593,0.8359344132753852,0.7308945738960404,,,,0.5228330096210307,0.5346691948957105,0.6142672692059393,0.5537563047517918,,0.4944930810505507,0.942036672223064,0.7296743063932448,0.6286703887510339,,,0.8642303433001107,0.7995845286378475,0.5769833225836174,0.5825190010857764,,0.5137688347267488,,0.9344867267171938,0.8359291459389093,,,0.4912456491931231,0.5734558942106112,0.9327037536703436,0.5236473704124102,0.6879432624113475,0.6122892557128591,0.685824230387289,,0.7436883866314018,0.678627280625543,,0.6157115437345764,0.638525397495427,0.5507931570762052,,0.8137520303194369,0.8078019699326076,,0.6570200099222755,0.4663477733611803,0.6041116248348745,,0.5198532585239534,0.487065003282994,0.81991392233667,0.6290773532152842,0.5590005772243754,0.6704640177827175,0.6249561864703821,0.5037068872891373,0.6396338672768879,,,0.7068671271840715,0.5247039608003267,,0.5088926260001019,0.775564752543542,0.7699861513282136,,,,0.818565626336041,0.8738481611351219,,0.8369900044005784,,0.7674088463837417,0.6865064127179172,0.8690969899665552,0.6590860483353532,0.5755651650336636,0.5666396660228051,0.6545174255354291,0.5578679125079635,,0.8761451080982045,0.5107431688759152,,0.7194941211342752,0.628942680498795,
{'pca__n_components': 500},0.5252854064462885,0.479022379943907,,0.6349546460967074,0.6790840292275574,0.5998384491114701,0.5773299410819497,0.6619695884085662,0.7533385232648662,0.5181309457190822,0.7163204747774481,0.8388482813117345,0.7288577480853837,,,,0.5191743077826461,0.5330292625429202,0.6204002582311169,0.5488894788071852,,0.492072457336507,0.9421124412789816,0.7300361881785283,0.6262406947890818,,,0.8650055370985603,0.7998812938965278,0.5781811480696581,0.5843512486427795,,0.5122573331443956,,0.9336137454862904,0.8376028639174299,,,0.4894525893893049,0.570230607966457,0.9327831124513928,0.5143397654180855,0.6857327070093028,0.6070022910180344,0.6852656405163853,,0.7454917047367156,0.6797567332754126,,0.6124211680833562,0.6353595047136625,0.5400311041990669,,0.8142161033335912,0.8103939865215137,,0.657295628686401,0.4647982213838172,0.6024603698811096,,0.5096029348295209,0.4816808929743926,0.8205909376662315,0.6177162384058936,0.5551249278469531,0.6758821894970826,0.6229699731277019,0.5044590093478027,0.6403661327231122,,,0.7027224705404307,0.5163558822195,,0.5019110227793915,0.7692705638903259,0.7706785849175375,,,,0.8199016673792219,0.8738481611351219,,0.8375557930470862,,0.7678571428571429,0.6885031871592043,0.8691638795986623,0.655521494261068,0.5682303355410805,0.5523708642283008,0.6504432087210262,0.5570184752601401,,0.8792859760247081,0.5081112121357133,,0.7072423673550045,0.6256418317091061,
